anime_id,anime_video_url
4138,not available
7972,not available
1222,not available
10719,https://www.crunchyroll.com/haganai/episode-1-we-cant-make-any-friends-758349
30869,not available
36848,not available
2126,not available
35626,not available
24459,not available
30911,not available
2014,not available
33362,https://www.crunchyroll.com/starmyu-season-2/episode-1-act-1-733459
560,not available
31327,not available
19163,not available
8369,not available
7870,not available
2922,not available
11701,not available
15061,not available
763,not available
8457,not available
18177,not available
970,not available
8115,not available
113,not available
5667,not available
1190,not available
23725,not available
5909,https://www.hulu.com/watch/748996
11179,https://www.crunchyroll.com/listen-to-me-girls-im-your-father/episode-1-dont-call-me-daddy-590242
6896,not available
19221,https://www.crunchyroll.com/my-mental-choices-are-completely-interfering-with-my-school-romantic-comedy/episode-1-that-choice-put-my-life-in-motion-645811
1238,not available
3965,not available
34277,not available
1439,not available
1419,not available
1808,not available
9032,not available
31326,not available
32648,not available
551,not available
506,not available
25183,https://www.crunchyroll.com/gangsta/episode-1-682683
1392,not available
13335,not available
2553,not available
2649,not available
2665,not available
2817,not available
9340,not available
1078,not available
1614,not available
1536,https://view.yahoo.com/show/buso-renkin/episode/50022395/sub-a-new-life
3076,not available
1589,not available
28405,not available
103,not available
30870,not available
8481,not available
25519,https://www.crunchyroll.com/yuki-yuna-is-a-hero/episode-1-a-maidens-true-heart-661703
2228,not available
476,not available
9135,not available
33672,not available
2672,not available
23383,not available
15201,not available
8756,not available
2969,not available
4970,not available
4752,not available
27899,not available
10629,not available
3352,not available
1146,not available
33157,not available
1081,not available
1170,not available
1764,not available
6572,not available
5984,https://www.crunchyroll.com/ristorante-paradiso/episode-1-nicoletta-525270
21031,not available
1117,not available
2929,not available
17643,not available
10918,not available
2408,not available
32574,not available
1004,not available
822,not available
4312,not available
12729,not available
30300,not available
31989,not available
24625,https://www.crunchyroll.com/gundam-build-fighters/episode-1-the-boy-who-calls-the-wind-731343
36028,https://www.crunchyroll.com/golden-kamuy/episode-1-wenkamuy-769171
484,not available
344,not available
32696,https://www.crunchyroll.com/the-morose-mononokean/episode-1-the-beginning-715085
18393,not available
6783,not available
31678,not available
15925,not available
501,not available
2253,not available
2518,not available
10050,not available
2286,not available
1590,not available
483,https://www.crunchyroll.com/kurau-phantom-memory/episode-1-into-the-wide-world-747267
9213,not available
2927,https://www.hulu.com/watch/217957
666,not available
6064,not available
20903,not available
4551,https://www.crunchyroll.com/earl-and-fairy/episode-1-hes-a-refined-villain-763803
15927,not available
33818,not available
101,not available
22819,not available
31485,not available
50,not available
5332,not available
2820,not available
5832,not available
815,not available
34086,not available
23319,not available
27957,not available
8098,not available
2585,not available
15307,not available
2942,https://www.crunchyroll.com/sketchbook-full-colors/episode-1-the-girl-with-the-sketchbook-713501
7662,https://view.yahoo.com/show/psychic-detective-yakumo/episode/60308281/sub-the-forbidden-room
2978,not available
4715,not available
1815,not available
2903,not available
12067,not available
34126,https://www.crunchyroll.com/rewrite/episode-14-three-cups-of-coffee-728981
17875,not available
32051,not available
31722,not available
17505,https://www.crunchyroll.com/mushibugyo/episode-1-here-comes-tsukishima-jinbei-622181
3342,not available
34541,not available
158,not available
16353,https://www.crunchyroll.com/love-lab/episode-1-their-remarkable-encounter-643853
1288,https://www.hulu.com/watch/574604
17137,not available
573,not available
238,https://www.crunchyroll.com/flame-of-recca/episode-1-the-princess-and-the-ninja-awakening-of-the-power-694265
710,not available
527,not available
34238,not available
2107,not available
601,not available
30016,https://www.crunchyroll.com/nanbaka/episode-1-idiots-with-numbers-721083
84,not available
5273,not available
2460,not available
10628,not available
633,not available
35639,not available
2336,not available
287,not available
18229,https://www.crunchyroll.com/gatchaman-crowds/episode-1-avant-garde-628277
908,not available
5684,not available
408,not available
1684,not available
31201,not available
2676,not available
5593,not available
2512,not available
10396,not available
656,not available
22419,not available
9611,not available
764,not available
4038,not available
878,not available
15911,https://www.crunchyroll.com/yuyushiki/episode-1-now-were-high-school-students-622851
2125,not available
1744,not available
19251,not available
11793,not available
4884,not available
198,https://www.crunchyroll.com/speed-grapher/episode-1-depravity-city-752107
399,not available
168,not available
19291,not available
28299,not available
1655,not available
2269,not available
26081,not available
4310,not available
5586,not available
4496,not available
3536,not available
30770,not available
2479,not available
4492,not available
12239,not available
3951,not available
17371,not available
9232,not available
7573,not available
2328,not available
3303,not available
8292,not available
9778,not available
5993,not available
9009,not available
2445,not available
5209,not available
8653,not available
23477,not available
3239,not available
30262,not available
6685,not available
8111,not available
4816,not available
33138,not available
30269,not available
9467,not available
7266,not available
10421,not available
6891,not available
4004,not available
27879,not available
8655,not available
7583,not available
4714,not available
8837,not available
33588,not available
9638,not available
6220,not available
36755,not available
2590,not available
37089,not available
9849,not available
37287,not available
14659,not available
6337,not available
17543,not available
2140,not available
8289,not available
2148,not available
5643,not available
3747,not available
30128,not available
18653,not available
1387,not available
35499,not available
36122,not available
3050,not available
